forecast_horizon_hours,extreme_group,observations,events,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,ece,ece_ci_lower,ece_ci_upper
24,normal,4879,924,0.1309395880303341,0.1271085804582941,0.1348752489182896,0.4002155001072718,0.3896119053847501,0.4109750699690678,0.0397294527567124,0.0364322343583338,0.0504746607221142
24,extreme,1649,310,0.1232730139478471,0.1165809402981574,0.1296647262191969,0.3828130127672929,0.3636716429144388,0.4015385732690639,0.0261916312916919,0.0240103075060855,0.0433879536596353
12,normal,5033,935,0.1118626316312338,0.1071666112777861,0.1168461444049763,0.3407757960216874,0.3289163058159856,0.3538043304786807,0.040487780647725,0.0356034771144278,0.0507684579593291
12,extreme,1724,311,0.1062258120649652,0.0990647132762382,0.1138433458728518,0.3271122409795534,0.3069895213178432,0.3499210480066564,0.0324129930394431,0.0289180354060831,0.0454927720107487
6,normal,3862,897,0.0368113865872604,0.0322077021054149,0.0416091338692204,0.1254622953700481,0.11197180619178,0.1391700455408151,0.0399210253754531,0.0338776356108158,0.047443398708685
6,extreme,1410,309,0.0293583156028368,0.0225315419860175,0.0369091327921507,0.103737140662219,0.0827346928920802,0.1288607367308134,0.0327765957446808,0.0246209073465615,0.0447190596224985
1,normal,2936,763,0.0125951805177111,0.0093768522177977,0.0160614057426107,0.047835097402389,0.0385706400490973,0.0591501201315014,0.026433923705722,0.0212748236693833,0.0316948596560434
1,extreme,1111,274,0.0121087758775877,0.0074343717348036,0.0178653413529898,0.0431119144066837,0.0300075880242173,0.0581374874916131,0.0193339333933393,0.015947822311255,0.0281968135350406
