forecast_horizon_hours,observations,events,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
24,4281,1299,0.15360456085026863,0.1483619148924382,0.15865214990218032,0.45680638319921224,0.44285265298360366,0.47183502215106865
12,4281,1299,0.13429411936463442,0.12798587448454388,0.1406895602755901,0.40277620305641254,0.38678311305424,0.4212062705510681
6,4281,1299,0.03442039243167484,0.03006317109092669,0.039013392025916645,0.11828837867962982,0.10372755511656503,0.1319055865283222
1,4281,1299,0.011515773183835554,0.009085857392915767,0.014428596252182662,0.04321542562504348,0.036497806859651,0.05037877695590699
