forecast_horizon_hours,observations,events,prevalence,mean_staleness_hours,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,log_loss_clip_epsilon,ece,ece_ci_lower,ece_ci_upper,bootstrap_clusters,bootstrap_iterations
24,7910,1731,0.2093552465233881,1.0969869363674671,0.13609537294563845,0.13264879348487374,0.13935447100251477,0.4150613728421512,0.4058268409528035,0.42396077806493515,1e-06,0.029297092288242725,0.026324219273039726,0.03514717732000926,1731,1000
12,8221,1765,0.20958520861209098,1.035273486599359,0.11711279649677656,0.11306740456660712,0.121070145524486,0.35677371771680205,0.3462173046652583,0.36723772571559593,1e-06,0.035406884807201076,0.030677297841729914,0.04245888505623971,1765,1000
6,6506,1690,0.24346756839840147,1.0755558971206065,0.03245219028588995,0.02913907107522367,0.03586183533283203,0.11282757467174244,0.10299998015699424,0.12322147310249357,1e-06,0.03358592068859516,0.02913501978483445,0.038984793433899954,1690,1000
1,4771,1399,0.24229721232446028,1.274676867183679,0.012218229930832112,0.0099003287254788,0.01464960292914254,0.045556948660681953,0.038748724474913614,0.052551958397594016,1e-06,0.02036155942150492,0.017287891479322026,0.02463438169100277,1399,1000
