forecast_horizon_hours,liquidity_quartile,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
24,Q1_low,0,0.0,0.1,857,0.04098016336056009,0.022170361726954493,-0.018809801633605596,0.4332659251769464
24,Q1_low,1,0.1,0.2,317,0.14473186119873818,0.09779179810725552,-0.04694006309148266,0.160262891809909
24,Q1_low,2,0.2,0.30000000000000004,242,0.25516528925619836,0.19421487603305784,-0.060950413223140515,0.12234580384226491
24,Q1_low,3,0.30000000000000004,0.4,242,0.34611570247933887,0.30578512396694213,-0.04033057851239674,0.12234580384226491
24,Q1_low,4,0.4,0.5,203,0.4617487684729064,0.2955665024630542,-0.1661822660098522,0.10262891809908999
24,Q1_low,5,0.5,0.6000000000000001,86,0.5362209302325581,0.2558139534883721,-0.280406976744186,0.043478260869565216
24,Q1_low,6,0.6000000000000001,0.7000000000000001,23,0.6443478260869565,0.4782608695652174,-0.1660869565217391,0.011627906976744186
24,Q1_low,7,0.7000000000000001,0.8,4,0.74,0.5,-0.24,0.0020222446916076846
24,Q1_low,8,0.8,0.9,3,0.8150000000000001,0.6666666666666666,-0.14833333333333343,0.0015166835187057635
24,Q1_low,9,0.9,1.0,1,0.905,1.0,0.09499999999999997,0.0005055611729019212
24,Q2,0,0.0,0.1,509,0.04418467583497054,0.021611001964636542,-0.022573673870333995,0.257460799190693
24,Q2,1,0.1,0.2,401,0.14826683291770573,0.12718204488778054,-0.021084788029925194,0.2028325746079919
24,Q2,2,0.2,0.30000000000000004,293,0.2529522184300342,0.2354948805460751,-0.01745733788395909,0.14820435002529084
24,Q2,3,0.30000000000000004,0.4,321,0.35070093457943924,0.35202492211838005,0.0013239875389408073,0.16236722306525037
24,Q2,4,0.4,0.5,231,0.45095238095238094,0.37662337662337664,-0.0743290043290043,0.11684370257966616
24,Q2,5,0.5,0.6000000000000001,126,0.5409920634920635,0.373015873015873,-0.1679761904761905,0.0637329286798179
24,Q2,6,0.6000000000000001,0.7000000000000001,50,0.6474,0.62,-0.02739999999999998,0.025290844714213456
24,Q2,7,0.7000000000000001,0.8,26,0.7473076923076923,0.7692307692307693,0.021923076923076934,0.013151239251390997
24,Q2,8,0.8,0.9,11,0.8513636363636364,0.9090909090909091,0.05772727272727263,0.00556398583712696
24,Q2,9,0.9,1.0,9,0.9283333333333333,0.8888888888888888,-0.039444444444444504,0.004552352048558422
24,Q3,0,0.0,0.1,581,0.0427710843373494,0.022375215146299483,-0.020395869191049916,0.29387961557916037
24,Q3,1,0.1,0.2,353,0.15038243626062323,0.1388101983002833,-0.011572237960339932,0.17855336368234698
24,Q3,2,0.2,0.30000000000000004,293,0.2527815699658703,0.26621160409556316,0.013430034129692847,0.14820435002529084
24,Q3,3,0.30000000000000004,0.4,306,0.3525326797385621,0.3627450980392157,0.010212418300653558,0.15477996965098634
24,Q3,4,0.4,0.5,231,0.44625541125541124,0.39826839826839827,-0.04798701298701297,0.11684370257966616
24,Q3,5,0.5,0.6000000000000001,105,0.5435714285714286,0.49523809523809526,-0.04833333333333334,0.05311077389984825
24,Q3,6,0.6000000000000001,0.7000000000000001,43,0.6555813953488372,0.5813953488372093,-0.07418604651162786,0.02175012645422357
24,Q3,7,0.7000000000000001,0.8,35,0.752,0.5714285714285714,-0.1805714285714286,0.017703591299949417
24,Q3,8,0.8,0.9,18,0.8511111111111112,0.7222222222222222,-0.12888888888888894,0.009104704097116844
24,Q3,9,0.9,1.0,12,0.9362499999999999,0.9166666666666666,-0.019583333333333286,0.006069802731411229
24,Q4_high,0,0.0,0.1,638,0.039600313479623825,0.04231974921630094,0.0027194357366771144,0.3225480283114257
24,Q4_high,1,0.1,0.2,313,0.14859424920127795,0.11501597444089456,-0.033578274760383386,0.15824064711830133
24,Q4_high,2,0.2,0.30000000000000004,280,0.2540892857142857,0.24642857142857144,-0.007660714285714243,0.14155712841253792
24,Q4_high,3,0.30000000000000004,0.4,257,0.3530155642023346,0.3346303501945525,-0.01838521400778209,0.12992922143579372
24,Q4_high,4,0.4,0.5,284,0.45058098591549295,0.44014084507042256,-0.01044014084507039,0.1435793731041456
24,Q4_high,5,0.5,0.6000000000000001,122,0.5392213114754099,0.5409836065573771,0.0017622950819672356,0.06167846309403438
24,Q4_high,6,0.6000000000000001,0.7000000000000001,45,0.6382222222222222,0.7111111111111111,0.07288888888888889,0.02275025278058645
24,Q4_high,7,0.7000000000000001,0.8,18,0.7708333333333334,0.8333333333333334,0.0625,0.00910010111223458
