forecast_horizon_hours,metric,low_minus_high,ci_lower,ci_upper,low_significantly_worse,bootstrap_iterations
24,brier_score,-0.03087009605662283,-0.04228969063661054,-0.019955266068060907,False,1000
24,log_loss,-0.08176074471562139,-0.11144766024058847,-0.053045168193744344,False,1000
24,ece,0.045829120323559173,0.020722919111379044,0.05270183815877229,True,1000
12,brier_score,-0.017773939777471673,-0.02929972327102444,-0.006778229847144899,False,1000
12,log_loss,-0.05083630577810433,-0.08265680389754251,-0.021673096582624087,False,1000
12,ece,0.05583233808590606,0.03380705565787674,0.06523140230400654,True,1000
6,brier_score,0.035279870928088514,0.025071337909570602,0.04498066686259587,True,1000
6,log_loss,0.11210313376165856,0.08113592774603055,0.14013410496754847,True,1000
6,ece,0.07721573448063922,0.06346556730886055,0.08765988258763133,True,1000
1,brier_score,0.015521500419111482,0.007876658827394844,0.022696681256587938,True,1000
1,log_loss,0.05393803693036608,0.03048382729957626,0.07531764787974632,True,1000
1,ece,0.04992455993294219,0.03817871138090025,0.059096892397974915,True,1000
