table,forecast_horizon_hours,observations,events,mean_volume_6h,volume_6h_ci_lower,volume_6h_ci_upper,mean_volume_24h,volume_24h_ci_lower,volume_24h_ci_upper,mean_open_interest,open_interest_ci_lower,open_interest_ci_upper,interval,interval_hours,volume_per_hour,volume_per_hour_ci_lower,volume_per_hour_ci_upper,log_volume_6h_growth,log_volume_6h_growth_ci_lower,log_volume_6h_growth_ci_upper,open_interest_growth_per_hour,open_interest_growth_per_hour_ci_lower,open_interest_growth_per_hour_ci_upper,absolute_revision,absolute_revision_ci_lower,absolute_revision_ci_upper,brier_reduction,brier_reduction_ci_lower,brier_reduction_ci_upper,share_absolute_revision,share_brier_reduction,metric,middle_minus_other_interval_average,ci_lower,ci_upper,middle_significantly_larger,season,temperature_regime,liquidity_quartile_24h
temperature_regime,,1251.0,342.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.10930455635491608,0.10222508662154779,0.11696701851976073,0.021884532374100717,0.013028015877193655,0.030771163816904912,0.3194337374728432,0.1756761699424413,,,,,,,cold,
temperature_regime,,1251.0,342.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.18248201438848924,0.17060122674439857,0.19706265344201118,0.0802656474820144,0.06808001294326564,0.09279824895806413,0.5332889480692411,0.6443254663406934,,,,,,,cold,
temperature_regime,,1251.0,342.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.0503956834532374,0.04079397561822207,0.06128331653438129,0.022422961630695442,0.01552406812745226,0.029720676236044654,0.14727731445791573,0.17999836371686526,,,,,,,cold,
temperature_regime,,1207.0,320.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.11091135045567523,0.1029227399473186,0.11905008997651952,0.0227953603976802,0.014060086147638968,0.03192910235185901,0.30804454875972204,0.1645751829070064,,,,,,,mild,
temperature_regime,,1207.0,320.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.1908285004142502,0.17832916076042363,0.20295354154970457,0.09170190555095278,0.07817947354408562,0.10408771366401981,0.5300059827879792,0.6620583143096489,,,,,,,mild,
temperature_regime,,1207.0,320.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.058309859154929575,0.04724331479479758,0.06977731919838666,0.024013048881524442,0.01654924837218065,0.03245619306493714,0.16194946845229877,0.17336650278334476,,,,,,,mild,
temperature_regime,,1216.0,318.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.0893955592105263,0.08371633437028658,0.09594144638423642,0.013058573190789473,0.00682503551421801,0.019752247211945104,0.26111865098905845,0.09498847057060618,,,,,,,hot,
temperature_regime,,1216.0,318.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.20236842105263156,0.19193903508771928,0.21307559959642244,0.10484054276315789,0.09567363134552734,0.11376968721522338,0.5911050792087531,0.7626133931606459,,,,,,,hot,
temperature_regime,,1216.0,318.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.05059210526315789,0.04083978689084469,0.06055527878835013,0.01957623355263158,0.014658179261924649,0.025650697603993397,0.14777626980218828,0.14239813626874798,,,,,,,hot,
liquidity,,1071.0,649.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.09375816993464053,0.08608476164320902,0.10119652143895091,0.012851050420168068,0.0050862125328812995,0.020323464071164508,0.27738567146862614,0.09946193190348342,,,,,,,,Q1_low
liquidity,,1071.0,649.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.1695378151260504,0.15481979184567796,0.1837281102158486,0.08583242296918768,0.07437716934804507,0.09749157216794889,0.5015814698692006,0.6643082339070522,,,,,,,,Q1_low
liquidity,,1071.0,649.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.07471055088702147,0.06405901274972892,0.08623189941441119,0.030522245564892622,0.024034602703955115,0.037421625259557396,0.22103285866217312,0.23622983418946433,,,,,,,,Q1_low
liquidity,,1070.0,714.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.10584579439252335,0.09874878092293055,0.11323636123165833,0.015459929906542054,0.0071954578421540814,0.023886116041632616,0.2767852778728188,0.10325040968731439,,,,,,,,Q2
liquidity,,1070.0,714.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.20549065420560747,0.19108674560733385,0.2191302838650768,0.10455703271028038,0.09149012465951922,0.11662888323873218,0.5373551982012806,0.6982927172559892,,,,,,,,Q2
liquidity,,1070.0,714.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.07107476635514016,0.061303797612538714,0.08144778318390553,0.02971542056074766,0.02264612946798306,0.03740515700976119,0.18585952392590052,0.19845687305669646,,,,,,,,Q2
liquidity,,1070.0,606.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.10706542056074765,0.0996746792665692,0.11487594176751056,0.01480981308411215,0.0066084571823597955,0.023325936408167255,0.2859924607434406,0.10566326846998467,,,,,,,,Q3
liquidity,,1070.0,606.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.22277570093457943,0.20782575401035477,0.2378642054966518,0.10865841121495327,0.09567868489694688,0.12160067763424559,0.5950770152532641,0.7752429291659694,,,,,,,,Q3
liquidity,,1070.0,606.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.04452336448598131,0.03628999941149241,0.05322451695043766,0.016692242990654207,0.010508810166038683,0.023473144883043445,0.1189305240032953,0.11909380236404604,,,,,,,,Q3
liquidity,,1070.0,387.0,,,,,,,,,,24h_to_12h,,,,,,,,,,,0.12888785046728968,0.11986325507975451,0.13784738649541517,0.03412700934579439,0.02450664229177334,0.044265431813767374,0.3407667313228153,0.228628153753418,,,,,,,,Q4_high
liquidity,,1070.0,387.0,,,,,,,,,,12h_to_6h,,,,,,,,,,,0.22213551401869158,0.20665396672248423,0.23722856400675021,0.10046016355140186,0.08613417926136363,0.11403320398137272,0.5873043327856093,0.6730159530182759,,,,,,,,Q4_high
liquidity,,1070.0,387.0,,,,,,,,,,6h_to_1h,,,,,,,,,,,0.027205607476635512,0.017939540179519865,0.03668035510190361,0.01468144859813084,0.00760750251305284,0.02269289716184137,0.07192893589157534,0.0983558932283062,,,,,,,,Q4_high
