interval,earlier,later,brier_reduction,brier_reduction_ci_lower,brier_reduction_ci_upper,log_loss_reduction,log_loss_reduction_ci_lower,log_loss_reduction_ci_upper,share_total_brier_reduction,share_total_log_loss_reduction
24h_to_12h,24,12,0.0193104414856342,0.014692165266031025,0.023756918389801224,0.05403018014279971,0.0423339053478582,0.06519007079410136,0.135904048466986,0.1306367539070545
12h_to_6h,12,6,0.09987372693295958,0.09347702227849132,0.10670027335544888,0.2844878243767827,0.2660318771002144,0.30258525203463843,0.7028966083335348,0.6878482693272274
6h_to_1h,6,1,0.022904619247839292,0.01922086502726569,0.02666984141573599,0.07507295305458633,0.06429695664221707,0.0871025757020092,0.16119934319947937,0.1815149767657181
