pair,model,feature,estimate_type,estimate,train_observations,train_events
24h_to_12h,linear_regression,bucket__bucket_label_48° or higher,standardized_coefficient,0.02808279981061887,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,-0.008436214297276784,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_49° or above,standardized_coefficient,0.03798243459264114,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,0.04483211049511858,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_50° or above,standardized_coefficient,-0.0821057035239249,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_50° or below,standardized_coefficient,-0.16021555927816175,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_50° or higher,standardized_coefficient,0.0070634259816427115,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,-0.01621242436213625,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_51° or above,standardized_coefficient,-0.10126739028538316,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_51° or below,standardized_coefficient,-0.11572276800863925,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_51° or higher,standardized_coefficient,0.10967281514635766,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,-0.004503979303119063,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_52° or above,standardized_coefficient,0.0860504693641758,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_52° or lower,standardized_coefficient,-0.0831077755895849,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_52° to 53°,standardized_coefficient,0.03968717819224157,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_53-54°,standardized_coefficient,-0.03532027298193111,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_53° or above,standardized_coefficient,0.084505805058506,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_53° to 54°,standardized_coefficient,-0.0019091499648077534,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_54° or above,standardized_coefficient,-0.01676493115172334,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_54° or below,standardized_coefficient,-0.08668716768654772,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_54° or lower,standardized_coefficient,0.030249195403285783,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_54° to 55°,standardized_coefficient,0.030133733943030525,4402,1193
