pair,now_horizon_hours,later_horizon_hours,model,model_status,status_reason,train_observations,train_events,test_observations,test_events,train_start_date,train_end_date,test_start_date,test_end_date,oos_r2_vs_zero,rmse,baseline_rmse,rmse_improvement,mae,baseline_mae,mae_improvement,sign_accuracy,baseline_sign_accuracy,sign_tolerance,predicted_probability_bound_violation_fraction,squared_loss_difference,squared_loss_ci_lower,squared_loss_ci_upper,squared_loss_pvalue,absolute_loss_difference,absolute_loss_ci_lower,absolute_loss_ci_upper,absolute_loss_pvalue,block_length_events,bootstrap_iterations,numeric_features_used,numeric_features_unavailable,unseen_bucket_observation_fraction,unseen_bucket_labels,squared_loss_pvalue_adjusted_bh,beats_zero_change_5pct
24h_to_12h,24,12,zero_change_baseline,evaluated,,4402,1193,3069,530,2021-08-06,2025-01-04,2025-01-05,2026-06-19,0.0,0.14550196257909892,0.14550196257909892,0.0,0.09136200716845878,0.09136200716845878,0.0,0.1068752036493972,0.1068752036493972,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.03844900619094167,35,,False
24h_to_12h,24,12,linear_regression,evaluated,,4402,1193,3069,530,2021-08-06,2025-01-04,2025-01-05,2026-06-19,-0.20093639726503598,0.1594515902593432,0.14550196257909892,-0.01394962768024427,0.1151749096050404,0.09136200716845878,-0.023812902436581615,0.3600521342456826,0.1068752036493972,0.005,0.04659498207885305,0.004105206841865663,0.003154192443168029,0.004996322584282039,0.0004997501249375312,0.023456361330102884,0.021383066973704297,0.025559824393282433,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.03844900619094167,35,0.0007496251874062968,False
24h_to_12h,24,12,ridge_regression,evaluated,,4402,1193,3069,530,2021-08-06,2025-01-04,2025-01-05,2026-06-19,-0.10410901024001107,0.15288850299010337,0.14550196257909892,-0.00738654041100445,0.10786070154407223,0.09136200716845878,-0.01649869437561345,0.3333333333333333,0.1068752036493972,0.005,0.006842619745845552,0.0020510019767104983,0.0012481480199232015,0.0027632053696451274,0.0004997501249375312,0.016148144175492776,0.014389663259583319,0.017901452314435764,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.03844900619094167,35,0.0007496251874062968,False
24h_to_12h,24,12,random_forest,evaluated,,4402,1193,3069,530,2021-08-06,2025-01-04,2025-01-05,2026-06-19,-0.023252594092449952,0.14718389050553668,0.14550196257909892,-0.0016819279264377596,0.09859422486401294,0.09136200716845878,-0.007232217695554155,0.3046594982078853,0.1068752036493972,0.005,0.0013033561420658195,0.0004960637999556169,0.0002424911285563439,0.0007715593683950125,0.0014992503748125937,0.007201902054067219,0.006391181676601472,0.008011646742943669,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.03844900619094167,35,0.001927607624759049,False
12h_to_6h,12,6,zero_change_baseline,evaluated,,3431,1154,2950,531,2021-08-06,2025-01-04,2025-01-05,2026-06-19,0.0,0.27772135773536194,0.27772135773536194,0.0,0.16796610169491524,0.16796610169491524,0.0,0.30271186440677966,0.30271186440677966,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.0640677966101695,51,,False
12h_to_6h,12,6,linear_regression,evaluated,,3431,1154,2950,531,2021-08-06,2025-01-04,2025-01-05,2026-06-19,-0.12267620146086733,0.2942635961143801,0.27772135773536194,-0.016542238379018137,0.22178243874757372,0.16796610169491524,-0.05381633705265848,0.20508474576271185,0.30271186440677966,0.005,0.05593220338983051,0.009464088083724904,0.007558246034369973,0.011326715532679466,0.0004997501249375312,0.05303384966656264,0.04938047624890966,0.0567674922698576,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.0640677966101695,51,0.0007496251874062968,False
12h_to_6h,12,6,ridge_regression,evaluated,,3431,1154,2950,531,2021-08-06,2025-01-04,2025-01-05,2026-06-19,-0.06901067836155739,0.2871443673150739,0.27772135773536194,-0.009423009579711983,0.21212630134189073,0.16796610169491524,-0.044160199646975484,0.17355932203389832,0.30271186440677966,0.005,0.012203389830508475,0.005378875808981738,0.003937998659245476,0.006739495362956945,0.0004997501249375312,0.04358572256395342,0.040672078478150554,0.04648841739632298,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.0640677966101695,51,0.0007496251874062968,False
12h_to_6h,12,6,random_forest,evaluated,,3431,1154,2950,531,2021-08-06,2025-01-04,2025-01-05,2026-06-19,-0.027236603007036786,0.28147804292775425,0.27772135773536194,-0.003756685192392306,0.19486428209098489,0.16796610169491524,-0.026898180396069643,0.15559322033898304,0.30271186440677966,0.005,0.0,0.002397605295342064,0.0007007292303348794,0.004003012063300511,0.0074962518740629685,0.027249244449817404,0.025261042776964473,0.029325893257631387,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.0640677966101695,51,0.00843328335832084,False
6h_to_1h,6,1,zero_change_baseline,evaluated,,1811,824,2670,522,2021-08-08,2025-01-04,2025-01-05,2026-06-19,0.0,0.11143371083344736,0.11143371083344736,0.0,0.027370786516853932,0.027370786516853932,0.0,0.7794007490636704,0.7794007490636704,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.12921348314606743,78,,False
6h_to_1h,6,1,linear_regression,evaluated,,1811,824,2670,522,2021-08-08,2025-01-04,2025-01-05,2026-06-19,-0.3148681872774126,0.1277784754214012,0.11143371083344736,-0.016344764587953836,0.059895302248896484,0.027370786516853932,-0.032524515732042555,0.3146067415730337,0.7794007490636704,0.005,0.3857677902621723,0.004024315892518572,0.0032621641679728155,0.00483568090010051,0.0004997501249375312,0.03213203336260331,0.029839135138768857,0.034333418209949645,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.12921348314606743,78,0.0007496251874062968,False
