forecast_horizon_hours,observations,events,prevalence,mean_staleness_hours,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,log_loss_clip_epsilon,ece,ece_ci_lower,ece_ci_upper,bootstrap_clusters,bootstrap_iterations
24,552,92,0.16666666666666666,0.9869565217391304,0.09769778079710145,0.08722160099637681,0.10835959239130434,0.30971720579902895,0.28169626683419247,0.3392896741513423,1e-06,0.040987318840579705,0.02891259057971014,0.06748392210144927,92,1000
12,552,92,0.16666666666666666,0.9833333333333333,0.07215778985507246,0.05957073596014492,0.08500043025362318,0.23032636439027251,0.19280784232039966,0.26945913953536793,1e-06,0.026630434782608698,0.020503849637681155,0.05367074275362319,92,1000
6,551,92,0.16696914700544466,0.9960375075620084,0.01693121597096189,0.005837308650362319,0.0300518930933382,0.06326610901530957,0.026918445321473163,0.10779643244068378,1e-06,0.01078039927404718,0.006914246823956445,0.02637989133848375,92,1000
1,538,92,0.17100371747211895,1.0167905824039651,0.0037576208178438674,2.724288603710421e-05,0.010992716884328362,0.019315347357136445,0.00510713283970625,0.046208532562755325,1e-06,0.004442379182156123,0.003258426966292151,0.009078340316573561,92,1000
