pair,model,feature,estimate_type,estimate,train_observations,train_events
24h_to_12h,linear_regression,bucket__bucket_label_72° to 73°,standardized_coefficient,0.11142689511017405,384,64
24h_to_12h,linear_regression,bucket__bucket_label_74° to 75°,standardized_coefficient,0.02892261392825009,384,64
24h_to_12h,linear_regression,bucket__bucket_label_76° to 77°,standardized_coefficient,-0.010850606886323888,384,64
24h_to_12h,linear_regression,bucket__bucket_label_83° to 84°,standardized_coefficient,-0.03456886517145563,384,64
24h_to_12h,linear_regression,bucket__bucket_label_infrequent_sklearn,standardized_coefficient,0.05726390396617044,384,64
24h_to_12h,ridge_regression,intercept,intercept,-0.0054216497302384415,384,64
24h_to_12h,ridge_regression,numeric__midpoint_probability,standardized_coefficient,0.02640486146716607,384,64
24h_to_12h,ridge_regression,numeric__bid_ask_spread,standardized_coefficient,-0.013155513565884933,384,64
24h_to_12h,ridge_regression,numeric__volume,standardized_coefficient,-0.004643613923839096,384,64
24h_to_12h,ridge_regression,numeric__open_interest,standardized_coefficient,-0.008925529267616247,384,64
24h_to_12h,ridge_regression,numeric__delta_p_1h,standardized_coefficient,0.009491188202124494,384,64
24h_to_12h,ridge_regression,numeric__delta_p_6h,standardized_coefficient,0.009552642585403047,384,64
24h_to_12h,ridge_regression,numeric__volatility_6h,standardized_coefficient,0.00838104632079752,384,64
24h_to_12h,ridge_regression,numeric__volatility_24h,standardized_coefficient,-0.008977745351309402,384,64
24h_to_12h,ridge_regression,numeric__volume_6h,standardized_coefficient,0.015671288276241615,384,64
24h_to_12h,ridge_regression,numeric__volume_24h,standardized_coefficient,0.006845588718938104,384,64
24h_to_12h,ridge_regression,numeric__time_to_close,standardized_coefficient,0.0,384,64
24h_to_12h,ridge_regression,numeric__missingindicator_delta_p_1h,standardized_coefficient,0.0005520344457133945,384,64
24h_to_12h,ridge_regression,numeric__missingindicator_delta_p_6h,standardized_coefficient,-0.0025919125386548005,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,0.018277239284260945,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,0.0011706574453396576,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,-0.001723706955585753,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,-0.02017725102890065,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,0.03738759624717209,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,0.004721309859279003,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_50° or below,standardized_coefficient,0.01842309422302691,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,-0.023473049275523298,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,-0.03598827061469854,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_52° or below,standardized_coefficient,0.01129423143005017,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_52° to 53°,standardized_coefficient,-0.010165702914989366,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_53° or below,standardized_coefficient,0.02655313551789106,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_53° to 54°,standardized_coefficient,0.007428910235270271,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_54° to 55°,standardized_coefficient,-0.03261995344522255,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_55° or below,standardized_coefficient,0.009887289746459216,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_55° to 56°,standardized_coefficient,-0.0329113550566601,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_56° to 57°,standardized_coefficient,0.005495541731411855,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_57° to 58°,standardized_coefficient,0.021433604957764935,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_58° to 59°,standardized_coefficient,-0.01804085771402921,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_59° or above,standardized_coefficient,-0.00270514836455832,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_59° to 60°,standardized_coefficient,0.04053738398592559,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_60° or below,standardized_coefficient,0.03179108566546868,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_60° to 61°,standardized_coefficient,-0.010879910080025914,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_61° or above,standardized_coefficient,0.0007143482906038618,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_61° or below,standardized_coefficient,-0.009159255073870146,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_61° to 62°,standardized_coefficient,0.0027954365822983203,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_62° or above,standardized_coefficient,0.004585348324857491,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_62° to 63°,standardized_coefficient,0.00039480536389196845,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_63° to 64°,standardized_coefficient,-0.018733296989731404,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_64° or above,standardized_coefficient,0.00844772392918881,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_64° to 65°,standardized_coefficient,-0.030841189974891714,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_65° to 66°,standardized_coefficient,-0.009561080224768847,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_66° to 67°,standardized_coefficient,-0.007459006479637515,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_67° to 68°,standardized_coefficient,-0.005888986554535672,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_68° to 69°,standardized_coefficient,-0.03989160983397248,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_69° or above,standardized_coefficient,0.0025239843754744904,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_69° to 70°,standardized_coefficient,-0.013657141089792655,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_70° or above,standardized_coefficient,0.03861503796181467,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_70° to 71°,standardized_coefficient,0.00983835954188566,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_72° to 73°,standardized_coefficient,0.030721119901256397,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_74° to 75°,standardized_coefficient,-0.0003318221459171245,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_76° to 77°,standardized_coefficient,-0.008609000854584433,384,64
